код ТТ;Название ТТ;Широта;Долгота;Продажи;Кластер;Нов продажи с корректировкой 25;Топ/аут;Потенциал продаж;Субканал (формат);Ассортимент,добавить sku:;Цена, снизить sku:;Выкладка на ХП, добавить:;Выкладка на ТП, добавить:;Оборудование, добавить:;ДМП, добавить:
2,9879E+14;Монетка;55,17813154;61,336338;96.7672277263439;ПродуктСО413;96,76722773;1;0;Конвиниенс;;;;;;
2,9879E+14;Монетка;55,2088086;61,2908478;31.786888865997;ПродуктСО423;66,75439431;0;0.2;Конвиниенс;10;;29;35;;
2,9879E+14;Монетка;55,16083146;61,4046723;8.81259289130466;ПродуктСО403;8,812592891;1;0;Конвиниенс;;;;;;
2,9879E+14;Монетка;55,1878717;61,2962936;19.4081896162154;ПродуктСО413;44,11319712;0;0.2;Конвиниенс;10;;13;35;;
2,9879E+14;Монетка;55,1457801;61,381382;16.3495323236278;ПродуктСО503;31,41994567;0;0.2;Конвиниенс;10;;;35;;
2,9879E+14;Монетка;55,19491798;61,33384719;65.7107758027441;ПродуктСО413;82,35002502;0;0.2;Конвиниенс;10;;20;35;;
2,9879E+14;Монетка;55,1654919;61,4597859;44.3006964026593;ПродуктСО513;73,95083476;0;0.2;Конвиниенс;10;;;35;;
2,9879E+14;Монетка;55,16668511;61,2943256;26.1709775030042;ПродуктСО412;43,82692879;0;0.2;Конвиниенс;10;;;35;;
2,9879E+14;Монетка;55,183179;61,442133;33.9970002627259;ПродуктСО513;63,64713862;0;0.2;Конвиниенс;10;;23;35;;
2,9879E+14;Монетка;55,18466104;61,38614293;21.5969801767308;ПродуктСО413;46,30198768;0;0.2;Конвиниенс;10;;26;35;;
2,9879E+14;Монетка;55,19477728;61,30900159;33.7825345065216;ПродуктСО413;58,48754201;0;0.2;Конвиниенс;10;;;35;1;
2,9879E+14;Монетка;55,19601543;61,48415018;58.6512703521137;ПродуктСО513;98,83379452;0;0.2;Конвиниенс;10;;;35;;
2,9879E+14;Монетка;55,13945639;61,40535057;36.369260788315;ПродуктСО513;66,01939914;0;0.2;Конвиниенс;10;;20;35;;
2,9879E+14;Монетка;55,184042;61,404952;125.992613547312;ПродуктСО413;125,9926135;1;0;Конвиниенс;;;;;;
2,9879E+14;Монетка;55,130503;61,452733;47.7117712862962;ПродуктСО503;50,23471114;0;0.052878772;Конвиниенс;10;;;35;;
2,9879E+14;Монетка;55,177442;61,486501;26.2511656133206;ПродуктСО513;55,90130397;0;0.2;Конвиниенс;10;;22;35;;
2,9879E+14;Монетка;55,1256121;61,4597906;17.3341251134749;ПродуктСО513;46,98426347;0;0.2;Конвиниенс;10;;13;35;;
2,9879E+14;Монетка;55,139416;61,381003;12.7899578245484;ПродуктСО503;27,86037117;0;0.2;Конвиниенс;10;;;35;;
2,9879E+14;Монетка;55,142607;61,389815;19.7573096316276;ПродуктСО503;34,82772297;0;0.2;Конвиниенс;10;;;35;;
2,9879E+14;Монетка;55,1730893;61,3599807;13.0460719027349;ПродуктСО411;14,35067909;0;0.1;Конвиниенс;;;;34;1;
2,9879E+14;Монетка;55,195061;61,352859;42.4628270936742;ПродуктСО413;82,35002502;0;0.2;Конвиниенс;10;;29;35;;
2,9879E+14;Монетка;55,141754;61,434464;33.3730998810406;ПродуктСО513;63,02323824;0;0.2;Конвиниенс;10;;29;35;;
2,9879E+14;Монетка;55,189712;61,290147;15.4805282205661;ПродуктСО413;40,18553573;0;0.2;Конвиниенс;10;;;35;1;
2,9879E+14;Монетка;55,194044;61,338944;17.0500276182432;ПродуктСО413;41,75503513;0;0.2;Конвиниенс;10;;27;35;;
2,9879E+14;Монетка;55,179277;61,328649;8.3390970659185;ПродуктСО413;33,04410457;0;0.2;Конвиниенс;10;;26;35;;
N*55056000;Монетка;55,1434938;61,44680277;18.5944595898704;ПродуктСО504;32,23127569;0;0.2;Конвиниенс;10;;;35;;
N*55056001;Монетка;55,18803621;61,38590853;20.9118038647015;ПродуктСО413;45,61681137;0;0.2;Конвиниенс;10;;;35;1;
N*55056013;Монетка;55,18834904;61,27573873;37.2453024562432;ПродуктСО413;61,95030996;0;0.2;Конвиниенс;10;;;35;1;
N125164300;Монетка;55,17142862;61,42130303;29.1449622242723;ПродуктСО513;58,79510058;0;0.2;Конвиниенс;10;;14;35;;
N125164313;Монетка;55,1517915;61,3908935;21.8852555763042;ПродуктСО413;46,59026308;0;0.2;Конвиниенс;10;;17;35;;
N125164317;Монетка;55,120887;61,432881;29.7724304314613;ПродуктСО503;50,23471114;0;0.2;Конвиниенс;10;;;35;;
2,9879E+14;Монетка;55,19517899;61,34263992;17.1951150611072;ПродуктСО413;41,90012257;0;0.2;Конвиниенс;10;;26;35;;
2,9879E+14;Пятерочка;55,11882244;61,45641379;124.414351055618;ПродуктСО423;124,4143511;1;0;Конвиниенс;;;;;;
2,9879E+14;Пятерочка;55,118617;61,459488;248.694033753779;ПродуктСО433;248,6940338;1;0;Конвиниенс;;;;;;
N12166800;Пятерочка;55,10505933;61,48856007;151.245566594479;ПродуктСО414;151,2455666;1;0;Конвиниенс;;;;;;
1911017559;Пятерочка;55,1315824;61,4342084;72.7879491978766;ПродуктСО513;98,83379452;0;0.2;Конвиниенс;10;10;18;29;;
1911017555;Пятерочка;55,17729549;61,45871453;121.307920457687;ПродуктСО523;121,3079205;1;0;Конвиниенс;;;;;;
1911019465;Пятерочка;55,1661218;61,4595558;98.326759878064;ПродуктСО413;98,32675988;1;0;Конвиниенс;;;;;;
N29561743;Пятерочка;55,17964291;61,46042726;62.4738712816875;ПродуктСО413;82,35002502;0;0.2;Конвиниенс;8;;18;3;;
2,9879E+14;Пятерочка;55,166089;61,453614;43.5677166862104;ПродуктСО413;82,35002502;0;0.2;Конвиниенс;10;;7;35;;
N295625;Пятерочка;55,16720906;61,44673973;77.8069100210023;ПродуктСО514;98,11505732;0;0.2;Конвиниенс;9;;27;35;;
2,94521E+14;Пятерочка;55,1892139;61,3252963;126.862811896341;ПродуктСО513;126,8628119;1;0;Конвиниенс;;;;;;
2,94521E+14;Пятерочка;55,18746908;61,33205619;97.3903469593849;ПродуктСО513;98,83379452;0;0.014821259;Конвиниенс;;;29;4;;
N12166834;Пятерочка;55,17540153;61,34707153;258.303210705767;ПродуктСО423;258,3032107;1;0;Конвиниенс;;;;;;
2,9879E+14;Пятерочка;55,17560094;61,33507732;113.695352907952;ПродуктСО413;113,6953529;1;0;Конвиниенс;;;;;;
2,9879E+14;Пятерочка;55,17995641;61,32010594;75.4248761167339;ПродуктСО413;82,35002502;0;0.091815184;Конвиниенс;;;30;20;;10
2,9452E+14;Пятерочка;55,18099976;61,33360291;69.6600166777676;ПродуктСО413;82,35002502;0;0.2;Конвиниенс;10;10;23;35;;
2,9879E+14;Пятерочка;55,15104333;61,36812667;75.0376143275761;ПродуктСО513;98,83379452;0;0.2;Конвиниенс;10;;21;17;;
2,9879E+14;Пятерочка;55,15829527;61,30560558;31.2645256506205;ПродуктСО502;57,42162076;0;0.2;Конвиниенс;3;;;;;
2,9879E+14;Пятерочка;55,1714382;61,3695423;43.63983719991;ПродуктСО421;95,05033948;0;0.2;Конвиниенс;10;;29;35;;
2,9879E+14;Пятерочка;55,179317;61,323143;56.9457806991889;ПродуктСО423;91,91328614;0;0.2;Конвиниенс;10;;29;26;;
2,9879E+14;Пятерочка;55,174388;61,337462;41.5316629274269;ПродуктСО413;82,35002502;0;0.2;Конвиниенс;10;;10;21;;
2,9879E+14;Пятерочка;55,154167;61,37547;33.8089055472534;ПродуктСО513;63,4590439;0;0.2;Конвиниенс;10;;9;13;;
96798118;Пятерочка;55,16407013;61,2976265;52.8839162850924;ПродуктСО503;52,88391629;1;0;Конвиниенс;;;;;;
N12166833;Пятерочка;55,17908765;61,3346695;29.4000559436268;ПродуктСО413;54,10506345;0;0.2;Конвиниенс;10;;3;5;;
N29561733;Пятерочка;55,1770402;61,33219705;48.3938490791363;ПродуктСО413;82,35002502;0;0.2;Конвиниенс;10;;1;17;;
N29561841;Пятерочка;55,15428581;61,25423784;75.6444888585574;ПродуктСО410;111,1656764;0;0.2;Конвиниенс;10;;30;17;;
2,9452E+14;Пятерочка;55,1777218;61,4489707;123.391579607411;ПродуктСО513;123,3915796;1;0;Конвиниенс;;;;;;
2,9879E+14;Пятерочка;55,16031585;61,42540544;82.8398194175305;ПродуктСО412;82,83981942;1;0;Конвиниенс;;;;;;
2,9879E+14;Пятерочка;55,11372;61,358974;128.653624868735;ПродуктСО413;128,6536249;1;0;Конвиниенс;;;;;;
2,9879E+14;Пятерочка;55,17706169;61,43735703;89.4926805894061;ПродуктСО423;116,5583515;0;0.2;Конвиниенс;10;;4;17;;
1911017499;Пятерочка;55,24135152;61,3788205;140.362229984388;ПродуктСО513;140,36223;1;0;Конвиниенс;;;;;;
2,94521E+14;Пятерочка;55,24444235;61,37259795;171.979852159889;ПродуктСО513;171,9798522;1;0;Конвиниенс;;;;;;
2,9452E+14;Пятерочка;55,2488377;61,40072376;43.5666553114319;ПродуктСО513;73,21679367;0;0.2;Конвиниенс;;10;29;29;;
1911017505;Пятерочка;55,25886063;61,39072951;62.5897741967578;ПродуктСО413;82,35002502;0;0.2;Конвиниенс;10;10;11;;;
2,9452E+14;Пятерочка;55,1727083;61,29326172;114.965623885841;ПродуктСО513;114,9656239;1;0;Конвиниенс;;;;;;
2,9452E+14;Пятерочка;55,18352915;61,2921771;148.905152747189;ПродуктСО413;148,9051527;1;0;Конвиниенс;;;;;;
2,9452E+14;Пятерочка;55,18650456;61,29983146;112.138176023349;ПродуктСО513;112,138176;1;0;Конвиниенс;;;;;;
2,9452E+14;Пятерочка;55,1881811;61,27582468;47.4290826254962;ПродуктСО513;77,07922098;0;0.2;Конвиниенс;7;10;8;27;;
2,9452E+14;Пятерочка;55,1950184;61,3029577;70.9143476636019;ПродуктСО413;82,35002502;0;0.2;Конвиниенс;;10;28;33;;
